john@gmail.com,"['personalcare01', 'medicine01', 'nutrition04']"
rida@gmail.com,"['personalcare01', 'vitamin09', 'Magnetic']"
judy@gmail.com,"['personalcare01', 'Airstream', 'vitamin08']"
ned@gmail.com,"['personalcare01', 'BodyScrub', 'Airstream']"
vinc@gmail.com,"['medicine01', 'Airstream', 'personalcare01']"
ryan@gmail.com,"['personalcare01', 'nutrition04', 'Airstream']"
kelly@gmail.com,"['homecare06', 'nutrition04', 'homecare01']"
zayn@gmail.com,"['vitamin01', 'Airstream', 'Gloves']"
angel@gmail.com,"['homecare03', 'personalcare03', 'nutrition04']"
kaylum@gmail.com,"['personalcare01', 'nutrition04', 'homecare01']"
jessi@gmail.com,"['personalcare01', 'homecare06', 'personalcare03']"
liza@gmail.com,"['personalcare02', 'nutrition04', 'personalcare01']"
