login_ID,Customer_Name,Customer_Age,Customer_Occupation,Credit_Card_Info,Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Product_ID,Product_Name,Category,Manufacturer,Review_Rating,Delivery_Tracking_ID,Delivery_Type,Delivery_Zip_Code,Transaction_Status,Order_Returned,Order_Delivered_on_Time,Total_Price,Quantity
john@gmail.com,JohnWelch,23,lawyer,"on,John Welch,2738201927382122,01/22,333",628578202,11/30/2020,12/1/2020,12/2/2020,vitamin01,Zinc 30 mg Tablets 100 CT,NULL,Nature Made,4,1053033066,Home Delivery,60616,Approved,No,No,4.19,1
rida@gmail.com,RidaEaton,40,scientist,"on,Rida Eaton,2819120392182744,01/21,114",400798032,12/4/2020,12/16/2020,12/8/2020,homecare03,Raised Toilet Seat,NULL,Drive Medical,1,1053906848,Store Pickup,60064,Disputed,Yes,Yes,36.99,1
judy@gmail.com,JudyHuang,23,student,"on,Judy Huang,9834023912330987,02/23,111",833698956,11/30/2020,12/1/2020,12/2/2020,medicine03,Cold Max Night Cool Burst Liquid 8 fl OZ,NULL,Tylenol,2,1493583063,Store Pickup,60612,Approved,Yes,No,12.19,1
ned@gmail.com,NedLyon,30,dancer,"on,Ned Lyon,2102929388102933,11/23,999",534617881,12/4/2020,12/18/2020,12/16/2020,Gloves,Disposable Gloves Latex-Free Clear Vinyl Gloves,NULL,Ridex,2,1523268175,Home Delivery,60620,Approved,No,Yes,12.99,1
vinc@gmail.com,VincLuise,24,police,"on,Vinc Luise,8291229291290032,12/25,867",147328179,12/4/2020,12/15/2020,12/9/2020,vitamin08,Immune+ Vitamin C Tablet,NULL,Emergen-C,1,1554979976,Home Delivery,60185,Disputed,Yes,Yes,8.29,1
ryan@gmail.com,RyanPerry,28,teacher,"on,Ryan Perry,2738209217228833,01/22,223",313207858,11/30/2020,12/3/2020,12/7/2020,personalcare03,3-Ply Cloth Face Masks 50CT,NULL,Hanes,3,1615107485,Home Delivery,60185,Disputed,Yes,No,29.98,2
kelly@gmail.com,KellyBall,23,driver,"on,Kelly Ball,2718202019223392,06/24,333",2005852451,11/30/2020,12/3/2020,12/14/2020,nutrition01,Natures Ultimate Lean Muscle Protein Powder,NULL,Muscle Milk,0,1654256941,Home Delivery,60616,Approved,No,No,39.98,2
judy@gmail.com,JudyHuang,23,student,"on,Judy Huang,9834023912330987,02/23,111",833698956,11/30/2020,12/5/2020,12/12/2020,homecare01,Steel Drop Arm Bedside Commode with Padded,NULL,Drive Medical,3,182443871,Store Pickup,60612,Approved,No,No,150.99,1
zayn@gmail.com,ZaynHaley,31,chef,"on,Zayn Haley,27192392817281922,12/24,443",1379043122,12/4/2020,12/8/2020,12/13/2020,homecare04,Plus-Sized Bariatric Blood Pressure Cuff,NULL,Drive Medical,2,1858765635,Home Delivery,60657,Disputed,No,No,22,1
rida@gmail.com,RidaEaton,40,scientist,"on,Rida Eaton,2819120392182744,01/21,114",400798032,12/4/2020,12/9/2020,12/7/2020,Airstream,Airstream 1875W Professional Ionic Ceramic Hair Dryer,NULL,Vikston,3,1873125439,Store Pickup,60064,Disputed,No,Yes,19.99,1
kelly@gmail.com,KellyBall,23,driver,"on,Kelly Ball,2718202019223392,06/24,333",1520133051,12/4/2020,12/16/2020,12/10/2020,personalcare01,Custom Molded Earplugs Black,NULL,Decibullz,4,2102589029,Store Pickup,60616,Approved,Yes,Yes,19.69,1
angel@gmail.com,AngelMain,32,accountant,"on,Angel Main,2829120222223828,04/27,988",1450083219,12/4/2020,12/12/2020,12/13/2020,personalcare01,Custom Molded Earplugs Black,NULL,Decibullz,3,250843974,Store Pickup,60623,Disputed,Yes,No,19.69,1
kaylum@gmail.com,KaylumVinson,30,professor,"on,Kaylum Vinson,9281271811920032,02/25,432",811894346,12/4/2020,12/13/2020,12/9/2020,homecare06,No Rinse Bathing Wipes,NULL,Nurture,2,384057035,Home Delivery,60411,Approved,Yes,Yes,84.5,5
jessi@gmail.com,JessiLiu,22,student,"on,Jessi Liu,9382717283928122,12/21,112",1018811203,12/4/2020,12/16/2020,12/5/2020,medicine07,Kids Cold Medicine,NULL,Hyland's,0,42005527,Home Delivery,60628,Approved,Yes,Yes,19.99,1
judy@gmail.com,JudyHuang,23,student,"on,Judy Huang,9834023912330987,02/23,111",833698956,11/30/2020,12/4/2020,12/5/2020,homecare03,Raised Toilet Seat,NULL,Drive Medical,4,472212639,Store Pickup,60612,Approved,No,No,73.98,2
zayn@gmail.com,ZaynHaley,31,chef,"on,Zayn Haley,27192392817281922,12/24,443",1379043122,12/4/2020,12/6/2020,12/12/2020,medicine08,Children's Honey Cough and Chest Congestion,NULL,Robitussin,2,480070437,Home Delivery,60657,Approved,Yes,No,19.99,1
angel@gmail.com,AngelMain,32,accountant,"on,Angel Main,2829120222223828,04/27,988",1450083219,12/4/2020,12/8/2020,12/11/2020,BodyScrub,Premium Organic Body Scrub Set,NULL,pureSCRUBS,2,486893508,Store Pickup,60623,Disputed,Yes,No,61.98,2
ryan@gmail.com,RyanPerry,28,teacher,"on,Ryan Perry,2738209217228833,01/22,223",313207858,11/30/2020,12/8/2020,12/13/2020,personalcare02,Fungal Nail Renewal 0.33 OZ,NULL,Kerasal,3,522217574,Home Delivery,60185,Approved,Yes,No,24.99,1
vinc@gmail.com,VincLuise,24,police,"on,Vinc Luise,8291229291290032,12/25,867",147328179,12/4/2020,12/6/2020,12/18/2020,vitamin09,Minis Adult 50+,NULL,Centrum,2,541491028,Home Delivery,60185,Disputed,Yes,No,18.29,1
liza@gmail.com,LizaBadom,24,driver,"on,Liza Badom,029372862736299,10/24,222",2079935705,11/30/2020,12/13/2020,12/13/2020,vitamin01,Zinc 30 mg Tablets 100 CT,NULL,Nature Made,0,567684737,Home Delivery,60605,Disputed,Yes,Yes,12.57,3
ryan@gmail.com,RyanPerry,28,teacher,"on,Ryan Perry,2738209217228833,01/22,223",313207858,11/30/2020,12/4/2020,12/8/2020,medicine02,Sinus Severe Daytime Caplets with Non-Drowsy Formula 24 CT,NULL,Tylenol,1,6476572,Home Delivery,60185,Approved,No,No,11.99,1
kelly@gmail.com,KellyBall,23,driver,"on,Kelly Ball,2718202019223392,06/24,333",1520133051,12/4/2020,12/16/2020,12/18/2020,vitamin05,Folic Acid Tablets 800mcg 100CT,NULL,CVS Health,0,731771858,Store Pickup,60616,Disputed,No,No,4.19,1
john@gmail.com,JohnWelch,23,lawyer,"on,John Welch,2738201927382122,01/22,333",628578202,11/30/2020,12/10/2020,12/14/2020,nutrition01,Natures Ultimate Lean Muscle Protein Powder,NULL,Muscle Milk,3,73561884,Home Delivery,60616,Disputed,Yes,No,19.99,1
kelly@gmail.com,KellyBall,23,driver,"on,Kelly Ball,2718202019223392,06/24,333",2005852451,11/30/2020,12/7/2020,12/4/2020,medicine02,Sinus Severe Daytime Caplets with Non-Drowsy Formula 24 CT,NULL,Tylenol,1,818390226,Home Delivery,60616,Approved,No,Yes,11.99,1
jessi@gmail.com,JessiLiu,22,student,"on,Jessi Liu,9382717283928122,12/21,112",1018811203,12/4/2020,12/7/2020,12/13/2020,BodyScrub,Premium Organic Body Scrub Set,NULL,pureSCRUBS,2,844089330,Home Delivery,60628,Disputed,Yes,No,30.99,1
ned@gmail.com,NedLyon,30,dancer,"on,Ned Lyon,2102929388102933,11/23,999",534617881,12/4/2020,12/7/2020,12/11/2020,nutrition04,Snack Bars 12CT,NULL,Vega,4,844653399,Home Delivery,60620,Disputed,No,No,22.99,1
jessi@gmail.com,JessiLiu,22,student,"on,Jessi Liu,9382717283928122,12/21,112",1018811203,12/4/2020,12/12/2020,12/12/2020,homecare07,Disposable Underpads,NULL,Medpride,1,862366884,Home Delivery,60628,Approved,Yes,Yes,14.49,1
vinc@gmail.com,VincLuise,24,police,"on,Vinc Luise,8291229291290032,12/25,867",147328179,12/4/2020,12/11/2020,12/8/2020,personalcare02,Fungal Nail Renewal 0.33 OZ,NULL,Kerasal,2,919344899,Home Delivery,60185,Approved,No,Yes,24.99,1
kaylum@gmail.com,KaylumVinson,30,lawyer,"on,Kaylum Vinson,9281271811920032,02/25,432",811894346,12/4/2020,12/17/2020,12/5/2020,medicine01,Extra Strength Rapid Release Gels with Acetaminophen,NULL,Tylenol ,3,982489875,Home Delivery,60411,Approved,Yes,Yes,14.98,2
